Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2017-08-15 04:00:00,54.777595986965935,54.93981342078414,54.447927139812506,54.76189804077149,371200,0.0,0.0,AFG,Insurance,0.002010861682395282,0.0020088426063111556,0.008982272320170747,0.15650418852732612,0.14829867129692512,0.29930025255295367,-0.0059838988190074795,0.03479716019223278,-10,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-16 04:00:00,54.85085106514233,55.0654002911679,54.6049059493984,54.667701721191406,474300,0.0,0.0,AFG,Insurance,-0.0017201069164906047,-0.0017215879990499314,0.008423517493346362,0.15668486099892484,0.14802954074260735,0.2649811771214266,-0.007693712789751945,0.03057936573115283,-9,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-17 04:00:00,54.36944976510219,54.625858945544685,53.4798606204741,53.52695846557617,412300,0.0,0.0,AFG,Insurance,-0.020866859584350084,-0.021087649359526457,0.02140974114581144,0.166576109920848,0.15249938982053088,0.16817297010297563,-0.028400028749635955,0.018590154430863315,-8,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-18 04:00:00,53.39611673015782,53.68392170379629,53.13970764649831,53.197269439697266,313700,0.0,0.0,AFG,Insurance,-0.006159308044579648,-0.006178354832672775,0.010230112617244047,0.16615693550914262,0.15283339585002095,0.04806001856950357,-0.03438441226867172,0.004142769512056388,-7,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-21 04:00:00,53.20249528178262,53.44320640170035,53.01934595057955,53.33331680297851,156900,0.0,0.0,AFG,Insurance,0.0025574125272624926,0.002554147912638158,0.007947385921760843,0.16617520006912537,0.15231920515059624,0.08525560247774412,-0.03191493486808763,0.008597492741219126,-4,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-22 04:00:00,53.44844495696198,53.58450046851522,53.22866574069958,53.5531005859375,161400,0.0,0.0,AFG,Insurance,0.004120947207744585,0.004112479360529439,0.006644521492170688,0.15681521339251978,0.15102867415746524,0.27317311396878236,-0.027925507422073045,0.03158040307737964,-3,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-23 04:00:00,53.343811941125445,53.63685102036507,53.27055217131554,53.31764602661133,217300,0.0,0.0,AFG,Insurance,-0.004396655968562202,-0.0044063496841382135,0.006870124177400947,0.15759131854571604,0.14951764357527614,0.23683437661430906,-0.03219938454175282,0.027117429667641302,-2,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-24 04:00:00,53.55309821646056,53.55309821646056,53.00365020011511,53.01934814453125,302100,0.0,0.0,AFG,Insurance,-0.005594730906371859,-0.005610440032952327,0.010363160536181068,0.15762609022337262,0.14977533196754902,0.13141223878622024,-0.037613968556262804,0.014315885959829355,-1,Hurricane Harvey,2017-08-25,Hurricane,Pre-Event
2017-08-25 04:00:00,53.270524906795664,53.83044085654683,53.22342708324711,53.57926177978515,467600,0.0,0.0,AFG,Insurance,0.01056055298393277,0.010505179850379099,0.011329267204064747,0.16008043337464617,0.15030697254558986,0.23609509009330984,-0.02745063988020444,0.0269806226484266,0,Hurricane Harvey,2017-08-25,Hurricane,Event Day
2017-08-28 04:00:00,53.53741244305959,53.53741244305959,52.95656441347767,53.1187858581543,312200,0.0,0.0,AFG,Insurance,-0.00859429388040922,-0.00863143779432228,0.010934889045336658,0.16158337343246756,0.15070776546951176,0.11166774637375773,-0.03580901489427792,0.011862199323926959,3,Hurricane Harvey,2017-08-25,Hurricane,Post-Event
2017-08-29 04:00:00,52.85188601527748,53.270516412340626,52.85188601527748,52.99840545654297,302600,0.0,0.0,AFG,Insurance,-0.0022662491182081634,-0.002268820947079027,0.007898924381912035,0.16001885025513435,0.1507896455790717,0.15626822319024058,-0.03799411186405798,0.017275775531778947,4,Hurricane Harvey,2017-08-25,Hurricane,Post-Event
2017-08-30 04:00:00,52.95133302518497,53.29669984878813,52.91993313768871,53.16587829589844,187100,0.0,0.0,AFG,Insurance,0.0031599599631877417,0.003154977782604874,0.00708662629445336,0.157614952814558,0.148929385432232,0.09675005638688004,-0.0349542117731975,0.010140971366724427,5,Hurricane Harvey,2017-08-25,Hurricane,Post-Event
